date,session,period,price
2024-06-09,MD,16,-0.01
2024-06-09,I1,17,-5.0
2024-06-09,I2,17,-5.0
2024-06-09,I3,17,-2.0
2024-06-09,MD,17,-0.01
2024-06-09,I1,18,-2.33
2024-06-09,I2,18,0.44
2024-06-09,I3,18,0.44
2024-06-09,MD,18,0.0
2024-06-09,I1,19,3.25
2024-06-09,I2,19,3.25
2024-06-09,I3,19,3.25
2024-06-09,MD,19,3.25
2024-06-09,I1,20,38.5
2024-06-09,I2,20,36.0
2024-06-09,I3,20,34.95
2024-06-09,MD,20,35.0
2024-06-09,I1,21,62.01
2024-06-09,I2,21,45.98
2024-06-09,I3,21,46.3
2024-06-09,MD,21,41.8
2024-06-09,I1,22,63.76
2024-06-09,I2,22,58.76
2024-06-09,I3,22,61.74
2024-06-09,MD,22,58.76
2024-06-09,I1,23,73.19
2024-06-09,I2,23,69.65
2024-06-09,I3,23,79.64
2024-06-09,MD,23,69.64
2024-06-09,I1,24,62.0
2024-06-09,I2,24,59.89
2024-06-09,I3,24,58.9
2024-06-09,MD,24,56.9
2024-06-10,I1,1,72.35
